ID	Name	CN Name	Decribe	CN Describe	Icon Path	AtlasPath	SpineSlots	Part	WeaponType
158	hat 27	帽子27	hat 27	帽子27	g_head_1_30	equip/gongjian/tou/g_head_1_30/skeleton_Atlas	head	3	0
159	hat 28	帽子28	hat 28	帽子28	z_head_1_0	equip/zhanshi/tou/z_head_1_0/skeleton_Atlas	head	3	0
160	hat 29	帽子29	hat 29	帽子29	z_head_1_3	equip/zhanshi/tou/z_head_1_3/skeleton_Atlas	head	3	0
161	hat 30	帽子30	hat 30	帽子30	z_head_1_5	equip/zhanshi/tou/z_head_1_5/skeleton_Atlas	head	3	0
162	hat 31	帽子31	hat 31	帽子31	z_head_1_7	equip/zhanshi/tou/z_head_1_7/skeleton_Atlas	head	3	0
163	hat 32	帽子32	hat 32	帽子32	z_head_1_8	equip/zhanshi/tou/z_head_1_8/skeleton_Atlas	head	3	0
164	hat 33	帽子33	hat 33	帽子33	z_head_1_10	equip/zhanshi/tou/z_head_1_10/skeleton_Atlas	head	3	0
165	hat 34	帽子34	hat 34	帽子34	z_head_1_11	equip/zhanshi/tou/z_head_1_11/skeleton_Atlas	head	3	0
166	hat 35	帽子35	hat 35	帽子35	z_head_1_12	equip/zhanshi/tou/z_head_1_12/skeleton_Atlas	head	3	0
167	hat 36	帽子36	hat 36	帽子36	z_head_1_15	equip/zhanshi/tou/z_head_1_15/skeleton_Atlas	head	3	0
168	hat 37	帽子37	hat 37	帽子37	z_head_1_16	equip/zhanshi/tou/z_head_1_16/skeleton_Atlas	head	3	0
169	hat 38	帽子38	hat 38	帽子38	z_head_1_17	equip/zhanshi/tou/z_head_1_17/skeleton_Atlas	head	3	0
170	hat 39	帽子39	hat 39	帽子39	z_head_1_19	equip/zhanshi/tou/z_head_1_19/skeleton_Atlas	head	3	0
171	hat 40	帽子40	hat 40	帽子40	z_head_1_20	equip/zhanshi/tou/z_head_1_20/skeleton_Atlas	head	3	0
172	hat 41	帽子41	hat 41	帽子41	z_head_1_25	equip/zhanshi/tou/z_head_1_25/skeleton_Atlas	head	3	0
173	hat 42	帽子42	hat 42	帽子42	z_head_1_30	equip/zhanshi/tou/z_head_1_30/skeleton_Atlas	head	3	0
174	hat 43	帽子43	hat 43	帽子43	z_head_1_35	equip/zhanshi/tou/z_head_1_40/skeleton_Atlas	head	3	0
175	hat 44	帽子44	hat 44	帽子44	z_head_1_40	equip/zhanshi/tou/z_head_1_35/skeleton_Atlas	head	3	0
176	necklace 1	项链1	necklace 1	项链1	necklace_1_0	null	null	4	0
177	necklace 2	项链2	necklace 2	项链2	necklace_1_3	null	null	4	0
178	necklace 3	项链3	necklace 3	项链3	necklace_1_5	null	null	4	0
179	necklace 4	项链4	necklace 4	项链4	necklace_1_6	null	null	4	0
180	necklace 5	项链5	necklace 5	项链5	necklace_1_10	null	null	4	0
181	necklace 6	项链6	necklace 6	项链6	necklace_1_11	null	null	4	0
182	necklace 7	项链7	necklace 7	项链7	necklace_1_12	null	null	4	0
183	necklace 8	项链8	necklace 8	项链8	necklace_1_14	null	null	4	0
184	necklace 9	项链9	necklace 9	项链9	necklace_1_15	null	null	4	0
185	necklace 10	项链10	necklace 10	项链10	necklace_1_16	null	null	4	0
186	necklace 11	项链11	necklace 11	项链11	necklace_1_17	null	null	4	0
187	necklace 12	项链12	necklace 12	项链12	necklace_1_20	null	null	4	0
188	necklace 13	项链13	necklace 13	项链13	necklace_1_21	null	null	4	0
189	necklace 14	项链14	necklace 14	项链14	necklace_1_25	null	null	4	0
190	necklace 15	项链15	necklace 15	项链15	necklace_1_30	null	null	4	0
191	necklace 16	项链16	necklace 16	项链16	necklace_1_40	null	null	4	0
192	ring 1	戒指1	ring 1	戒指1	ring_1_0	null	null	5	0
193	ring 2	戒指2	ring 2	戒指2	ring_1_3	null	null	5	0
194	ring 3	戒指3	ring 3	戒指3	ring_1_5	null	null	5	0
195	ring 4	戒指4	ring 4	戒指4	ring_1_6	null	null	5	0
196	ring 5	戒指5	ring 5	戒指5	ring_1_9	null	null	5	0
197	ring 6	戒指6	ring 6	戒指6	ring_1_10	null	null	5	0
198	ring 7	戒指7	ring 7	戒指7	ring_1_11	null	null	5	0
199	ring 8	戒指8	ring 8	戒指8	ring_1_12	null	null	5	0
200	ring 9	戒指9	ring 9	戒指9	ring_1_15	null	null	5	0
201	ring 10	戒指10	ring 10	戒指10	ring_1_16	null	null	5	0
202	ring 11	戒指11	ring 11	戒指11	ring_1_20	null	null	5	0
203	ring 12	戒指12	ring 12	戒指12	ring_1_21	null	null	5	0
204	ring 13	戒指13	ring 13	戒指13	ring_1_25	null	null	5	0
205	ring 14	戒指14	ring 14	戒指14	ring_1_26	null	null	5	0
206	ring 15	戒指15	ring 15	戒指15	ring_1_30	null	null	5	0
207	ring 16	戒指16	ring 16	戒指16	ring_1_31	null	null	5	0
208	ring 17	戒指17	ring 17	戒指17	ring_1_35	null	null	5	0
209	ring 18	戒指18	ring 18	戒指18	ring_1_40	null	null	5	0
